t,x,dist,ap,rssi,rssi_src,bw_mbps,cache,latency_s,speed_bps,loss_pct,stall,vlc_buffer_pct,vlc_cum_stall_s,handover,vehicle_speed_kmh,outage,cum_outage_s
0.0,-300.0,300.0,ap1,-76.00,live,0.500,HIT,2.7059,193758,0.000,0,0.0,0.000,0,120,0,0.000
2.8,-207.4,207.4,ap1,-73.00,live,2.000,HIT,0.4415,1187537,0.000,0,0.0,0.000,0,120,0,0.000
3.3,-190.3,190.3,ap1,-72.00,live,2.000,HIT,0.7068,741734,0.000,0,0.0,0.000,0,120,0,0.000
4.1,-164.3,164.3,ap1,-71.00,live,5.000,HIT,0.4097,1279588,0.000,0,0.0,0.000,0,120,0,0.000
4.6,-148.3,148.3,ap1,-70.00,live,5.000,HIT,0.9034,580334,0.000,0,0.0,0.000,0,120,0,0.000
5.5,-115.7,115.7,ap1,-68.00,live,5.000,HIT,0.6140,853854,0.000,0,0.0,0.000,0,120,0,0.000
6.2,-92.7,92.7,ap1,-66.00,live,5.000,HIT,0.9001,582480,0.000,0,0.0,0.000,0,120,0,0.000
7.2,-60.4,60.4,ap1,-62.00,live,8.000,HIT,0.4251,1233201,0.000,0,0.0,0.000,0,120,0,0.000
7.7,-43.8,43.8,ap1,-60.00,live,8.000,HIT,0.3492,1501475,0.000,0,0.0,0.000,0,120,0,0.000
8.2,-27.2,27.2,ap1,-56.00,live,10.000,HIT,0.2331,2249217,0.000,0,0.0,0.000,0,120,0,0.000
8.7,-10.5,10.5,ap1,-48.00,live,10.000,HIT,0.2487,2107801,0.000,0,0.0,0.000,0,120,0,0.000
9.2,6.2,6.2,ap1,-44.00,live,10.000,HIT,0.2267,2312532,0.000,0,0.0,0.000,0,120,0,0.000
9.7,22.8,22.8,ap1,-54.00,live,10.000,HIT,0.2342,2239073,0.000,0,0.0,0.000,0,120,0,0.000
10.2,39.5,39.5,ap1,-59.00,live,10.000,HIT,0.2839,1847028,0.000,0,0.0,0.000,0,120,0,0.000
10.7,56.2,56.2,ap1,-62.00,live,10.000,HIT,0.2857,1835183,0.000,0,0.0,0.000,0,120,0,0.000
11.2,72.8,72.8,ap1,-64.00,live,8.000,HIT,0.3541,1480500,0.000,0,0.0,0.000,0,120,0,0.000
11.7,89.5,89.5,ap1,-66.00,live,8.000,HIT,0.3129,1675764,0.000,0,0.0,0.000,0,120,0,0.000
12.2,106.2,106.2,ap1,-67.00,live,8.000,HIT,0.3998,1311343,0.000,0,0.0,0.000,0,120,0,0.000
12.7,122.0,122.0,ap1,-68.00,live,8.000,HIT,0.3174,1651790,0.000,0,0.0,0.000,0,120,0,0.000
13.2,138.6,138.6,ap1,-69.00,live,5.000,HIT,0.7908,663003,0.000,0,100.0,0.000,0,120,0,0.000
14.0,167.5,167.5,ap1,-71.00,live,5.000,HIT,0.6926,756987,0.000,0,100.0,0.000,0,120,0,0.000
14.8,193.0,193.0,ap1,-72.00,live,5.000,HIT,0.5278,993416,0.000,0,100.0,0.000,0,120,0,0.000
15.4,213.0,213.0,ap1,-73.00,live,5.000,HIT,0.5867,893637,0.000,0,100.0,0.000,0,120,0,0.000
