t_epoch,t_elapsed_s,ap,url,position_s,duration_s,state,is_buffering,buffer_pct,cum_stall_events,cum_stall_time_s
1783941350.881,0.000,1,http://10.0.0.100:8081/Video.mp4,0.000,0.000,State.NothingSpecial,0,0.0,0,0.000
1783941351.883,1.002,1,http://10.0.0.100:8081/Video.mp4,0.000,0.000,State.Opening,0,0.0,0,0.000
1783941352.884,2.003,1,http://10.0.0.100:8081/Video.mp4,0.000,0.000,State.Opening,0,0.0,0,0.000
1783941353.886,3.005,1,http://10.0.0.100:8081/Video.mp4,0.000,0.000,State.Opening,0,0.0,0,0.000
1783941354.887,4.006,1,http://10.0.0.100:8081/Video.mp4,0.000,0.000,State.Opening,0,0.0,0,0.000
1783941355.889,5.007,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941356.890,6.009,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941357.891,7.010,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941358.892,8.011,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941359.893,9.012,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941360.894,10.013,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941361.895,11.014,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941362.896,12.015,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941363.897,13.015,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941364.898,14.016,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,0.0,0,0.000
1783941365.899,15.018,1,http://10.0.0.100:8081/Video.mp4,0.000,634.600,State.Playing,0,100.0,0,0.000
1783941366.900,16.019,1,http://10.0.0.100:8081/Video.mp4,0.900,634.600,State.Playing,0,100.0,0,0.000
1783941367.901,17.019,1,http://10.0.0.100:8081/Video.mp4,2.150,634.600,State.Playing,0,100.0,0,0.000
1783941368.902,18.021,1,http://10.0.0.100:8081/Video.mp4,3.150,634.600,State.Playing,0,100.0,0,0.000
1783941369.903,19.022,1,http://10.0.0.100:8081/Video.mp4,3.900,634.600,State.Playing,0,100.0,0,0.000
1783941370.904,20.023,1,http://10.0.0.100:8081/Video.mp4,4.900,634.600,State.Playing,0,100.0,0,0.000
1783941371.905,21.024,1,http://10.0.0.100:8081/Video.mp4,6.150,634.600,State.Playing,0,100.0,0,0.000
1783941372.907,22.025,1,http://10.0.0.100:8081/Video.mp4,6.900,634.600,State.Playing,0,100.0,0,0.000
1783941373.908,23.027,1,http://10.0.0.100:8081/Video.mp4,8.150,634.600,State.Playing,0,100.0,0,0.000
1783941374.909,24.028,1,http://10.0.0.100:8081/Video.mp4,9.150,634.600,State.Playing,0,100.0,0,0.000
1783941375.910,25.029,1,http://10.0.0.100:8081/Video.mp4,10.150,634.600,State.Playing,0,100.0,0,0.000
1783941376.912,26.030,1,http://10.0.0.100:8081/Video.mp4,11.150,634.600,State.Playing,0,100.0,0,0.000
1783941377.913,27.032,1,http://10.0.0.100:8081/Video.mp4,11.650,634.600,State.Playing,0,100.0,0,0.000
1783941378.915,28.033,1,http://10.0.0.100:8081/Video.mp4,11.650,634.600,State.Playing,0,100.0,0,0.000
1783941379.942,29.061,2,http://10.0.0.100:8082/Video.mp4,0.000,0.000,State.Opening,0,100.0,0,0.000
1783941381.093,30.212,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941382.094,31.213,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941383.095,32.214,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941384.096,33.215,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941385.097,34.216,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941386.098,35.217,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941387.099,36.218,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941388.100,37.219,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941389.101,38.219,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,0,0.0,0,0.000
1783941390.102,39.220,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,0.921
1783941391.103,40.221,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,1.922
1783941392.103,41.222,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,2.922
1783941393.104,42.223,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,3.923
1783941394.105,43.224,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,4.924
1783941395.106,44.225,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,5.925
1783941396.107,45.226,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,6.926
1783941397.108,46.227,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,7.927
1783941398.109,47.228,2,http://10.0.0.100:8082/Video.mp4,14.150,634.600,State.Playing,1,0.0,1,8.928
1783941399.110,48.229,2,http://10.0.0.100:8082/Video.mp4,14.583,634.600,State.Playing,0,100.0,1,9.351
1783941400.111,49.230,2,http://10.0.0.100:8082/Video.mp4,15.584,634.600,State.Playing,0,100.0,1,9.351
1783941401.112,50.231,2,http://10.0.0.100:8082/Video.mp4,16.583,634.600,State.Playing,0,100.0,1,9.351
1783941402.114,51.232,2,http://10.0.0.100:8082/Video.mp4,17.583,634.600,State.Playing,0,100.0,1,9.351
1783941403.115,52.234,2,http://10.0.0.100:8082/Video.mp4,18.583,634.600,State.Playing,0,100.0,1,9.351
1783941404.286,53.405,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,0,0.0,1,9.351
1783941405.287,54.405,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,0,0.0,1,9.351
1783941406.288,55.406,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,0,0.0,1,9.351
1783941407.288,56.407,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,0,0.0,1,9.351
1783941408.289,57.408,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,0,0.0,1,9.351
1783941409.290,58.409,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,0,0.0,1,9.351
1783941410.291,59.410,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,0,0.0,1,9.351
1783941411.293,60.411,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,0,0.0,1,9.351
1783941412.294,61.412,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,9.357
1783941413.294,62.413,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,10.358
1783941414.295,63.414,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,11.359
1783941415.296,64.415,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,12.360
1783941416.297,65.416,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,13.361
1783941417.299,66.417,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,14.362
1783941418.300,67.418,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,15.363
1783941419.301,68.419,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,16.364
1783941420.302,69.420,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,17.365
1783941421.303,70.421,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,18.366
1783941422.304,71.423,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,19.368
1783941423.305,72.424,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,20.369
1783941424.306,73.425,3,http://10.0.0.100:8083/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,21.370
1783941425.330,74.449,4,http://10.0.0.100:8084/Video.mp4,0.000,0.000,State.Opening,1,0.0,2,22.394
1783941426.482,75.600,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,23.545
1783941427.483,76.601,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,24.546
1783941428.484,77.603,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,25.548
1783941429.485,78.604,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,26.549
1783941430.486,79.605,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,27.550
1783941431.487,80.606,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,28.551
1783941432.488,81.607,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,29.552
1783941433.489,82.607,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,30.552
1783941434.490,83.608,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,31.553
1783941435.491,84.609,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,32.554
1783941436.491,85.610,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,33.555
1783941437.492,86.611,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,34.556
1783941438.494,87.612,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,35.557
1783941439.494,88.613,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,36.558
1783941440.495,89.614,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,37.559
1783941441.496,90.615,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,38.560
1783941442.497,91.616,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,39.561
1783941443.498,92.617,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,40.562
1783941444.499,93.618,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,41.563
1783941445.500,94.619,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,42.564
1783941446.501,95.620,4,http://10.0.0.100:8084/Video.mp4,18.583,634.600,State.Playing,1,0.0,2,43.565
