t,x,dist,rsu,rssi,rssi_src,bw_mbps,quality,quality_idx,seg,loss,stall,buffer_s,handover,vehicle_speed_kmh,outage,cum_outage_s
0.0,-300.0,300.0,1,-76.00,live,0.500,360p,0,5,0.000,0,20.0,0,120.0,0,0.000
0.5,-283.3,283.3,1,-75.00,live,0.500,360p,0,5,0.000,0,19.5,0,120.0,0,0.000
1.0,-266.7,266.7,1,-75.00,live,0.500,360p,0,5,0.000,0,19.0,0,120.0,0,0.000
1.5,-250.0,250.0,1,-74.00,live,2.000,360p,0,5,0.000,0,18.5,0,120.0,0,0.000
2.0,-233.3,233.3,1,-74.00,live,2.000,360p,0,5,0.000,0,18.0,0,120.0,0,0.000
2.5,-216.6,216.6,1,-73.00,live,2.000,360p,0,5,0.000,0,17.5,0,120.0,0,0.000
3.0,-200.0,200.0,1,-72.00,live,2.000,360p,0,6,0.000,0,21.0,0,120.0,0,0.000
3.5,-183.3,183.3,1,-72.00,live,2.000,360p,0,6,0.000,0,20.5,0,120.0,0,0.000
4.0,-166.6,166.6,1,-71.00,live,5.000,360p,0,7,0.000,0,24.0,0,120.0,0,0.000
4.5,-150.0,150.0,1,-70.00,live,5.000,360p,0,8,0.000,0,27.5,0,120.0,0,0.000
5.0,-133.3,133.3,1,-69.00,live,5.000,360p,0,8,0.000,0,27.0,0,120.0,0,0.000
5.5,-116.6,116.6,1,-68.00,live,5.000,720p,1,9,0.000,0,29.5,0,120.0,0,0.000
6.0,-100.0,100.0,1,-67.00,live,5.000,720p,1,9,0.000,0,29.0,0,120.0,0,0.000
6.5,-83.3,83.3,1,-65.00,live,8.000,720p,1,9,0.000,0,28.5,0,120.0,0,0.000
7.0,-66.6,66.6,1,-63.00,live,8.000,720p,1,9,0.000,0,28.0,0,120.0,0,0.000
7.5,-49.9,49.9,1,-61.00,live,8.000,720p,1,10,0.000,0,29.5,0,120.0,0,0.000
8.0,-33.3,33.3,1,-58.00,live,10.000,720p,1,10,0.000,0,29.0,0,120.0,0,0.000
8.5,-16.6,16.6,1,-52.00,live,10.000,720p,1,10,0.000,0,28.5,0,120.0,0,0.000
9.0,0.1,0.1,1,-10.00,live,10.000,1080p,2,11,0.000,0,29.5,0,120.0,0,0.000
9.5,16.7,16.7,1,-52.00,live,10.000,1080p,2,11,0.000,0,29.0,0,120.0,0,0.000
10.0,33.4,33.4,1,-58.00,live,10.000,1080p,2,11,0.000,0,28.5,0,120.0,0,0.000
10.5,50.1,50.1,1,-61.00,live,10.000,1080p,2,12,0.000,0,29.5,0,120.0,0,0.000
11.0,66.8,66.8,1,-63.00,live,8.000,1080p,2,12,0.000,0,29.0,0,120.0,0,0.000
11.5,83.4,83.4,1,-65.00,live,8.000,1080p,2,12,0.000,0,28.5,0,120.0,0,0.000
12.0,100.1,100.1,1,-67.00,live,8.000,1080p,2,12,0.000,0,28.0,0,120.0,0,0.000
12.5,116.8,116.8,1,-68.00,live,8.000,1080p,2,13,0.000,0,29.5,0,120.0,0,0.000
13.0,133.4,133.4,1,-69.00,live,5.000,1080p,2,13,0.000,0,29.0,0,120.0,0,0.000
13.5,150.1,150.1,1,-70.00,live,5.000,1080p,2,13,0.000,0,28.5,0,120.0,0,0.000
14.0,166.8,166.8,1,-71.00,live,5.000,1080p,2,13,0.000,0,28.0,0,120.0,0,0.000
14.5,183.5,183.5,1,-72.00,live,5.000,1080p,2,13,0.000,0,27.5,0,120.0,0,0.000
15.0,200.1,200.1,1,-72.00,live,5.000,1080p,2,13,0.000,0,27.0,0,120.0,0,0.000
15.5,216.8,216.8,1,-73.00,live,5.000,1080p,2,13,0.000,0,26.5,0,120.0,0,0.000
16.0,233.5,233.5,1,-74.00,live,5.000,720p,1,14,0.000,0,29.5,0,120.0,0,0.000
16.5,250.1,249.9,2,-74.00,live,5.000,720p,1,14,64.000,0,29.0,1,120.0,0,0.000
17.4,280.0,220.0,2,-73.00,live,5.000,720p,1,14,100.000,0,28.1,0,120.0,0,0.000
17.9,296.7,203.3,2,-73.00,live,5.000,720p,1,14,15.000,0,27.6,0,120.0,0,0.000
18.4,313.4,186.6,2,-72.00,live,5.000,720p,1,14,0.000,0,27.1,0,120.0,0,0.000
18.9,330.0,170.0,2,-71.00,live,5.000,720p,1,14,0.000,0,26.6,0,120.0,0,0.000
19.4,346.7,153.3,2,-70.00,live,5.000,720p,1,15,0.000,0,29.5,0,120.0,0,0.000
19.9,363.4,136.6,2,-69.00,live,5.000,720p,1,15,10.000,0,29.0,0,120.0,0,0.000
20.4,380.0,120.0,2,-69.00,live,5.000,720p,1,15,100.000,0,28.5,0,120.0,0,0.000
20.9,396.7,103.3,2,-67.00,live,5.000,720p,1,15,47.368,0,28.0,0,120.0,0,0.000
21.4,413.4,86.6,2,-65.00,live,8.000,720p,1,15,0.000,0,27.5,0,120.0,0,0.000
21.9,430.1,69.9,2,-64.00,live,8.000,720p,1,15,0.000,0,27.0,0,120.0,0,0.000
22.4,446.7,53.3,2,-61.00,live,8.000,720p,1,16,0.000,0,29.5,0,120.0,0,0.000
22.9,463.4,36.6,2,-58.00,live,10.000,1080p,2,17,0.000,0,29.5,0,120.0,0,0.000
23.4,480.1,19.9,2,-53.00,live,10.000,1080p,2,17,0.000,0,29.0,0,120.0,0,0.000
23.9,496.7,3.3,2,-39.00,live,10.000,1080p,2,17,0.000,0,28.5,0,120.0,0,0.000
24.4,513.4,13.4,2,-50.00,live,10.000,1080p,2,17,0.000,0,28.0,0,120.0,0,0.000
24.9,530.1,30.1,2,-57.00,live,10.000,1080p,2,17,0.000,0,27.5,0,120.0,0,0.000
25.4,546.8,46.8,2,-60.00,live,10.000,1080p,2,18,0.000,0,29.5,0,120.0,0,0.000
25.9,563.4,63.4,2,-63.00,live,8.000,1080p,2,18,0.000,0,29.0,0,120.0,0,0.000
26.4,580.1,80.1,2,-65.00,live,8.000,1080p,2,18,10.000,0,28.5,0,120.0,0,0.000
26.9,596.8,96.8,2,-66.00,live,8.000,1080p,2,18,0.000,0,28.0,0,120.0,0,0.000
27.4,613.4,113.4,2,-68.00,live,8.000,1080p,2,18,0.000,0,27.5,0,120.0,0,0.000
27.9,630.1,130.1,2,-69.00,live,5.000,1080p,2,18,10.000,0,27.0,0,120.0,0,0.000
28.4,646.8,146.8,2,-70.00,live,5.000,1080p,2,19,0.000,0,29.5,0,120.0,0,0.000
28.9,663.5,163.5,2,-71.00,live,5.000,1080p,2,19,0.000,0,29.0,0,120.0,0,0.000
29.4,680.1,180.1,2,-72.00,live,5.000,1080p,2,19,0.000,0,28.5,0,120.0,0,0.000
29.9,696.8,196.8,2,-72.00,live,5.000,1080p,2,19,0.000,0,28.0,0,120.0,0,0.000
30.4,713.5,213.5,2,-73.00,live,5.000,1080p,2,19,0.000,0,27.5,0,120.0,0,0.000
30.9,730.1,230.1,2,-74.00,live,5.000,1080p,2,19,0.000,0,27.0,0,120.0,0,0.000
31.4,746.8,246.8,2,-74.00,live,5.000,1080p,2,19,0.000,0,26.5,0,120.0,0,0.000
31.9,763.5,236.5,3,-74.00,live,5.000,720p,1,20,60.000,0,29.5,1,120.0,0,0.000
32.8,793.4,206.6,3,-74.00,live,5.000,720p,1,20,100.000,0,28.6,0,120.0,0,0.000
33.3,810.0,190.0,3,-72.00,live,5.000,720p,1,20,15.789,0,28.1,0,120.0,0,0.000
33.8,826.7,173.3,3,-71.00,live,5.000,720p,1,20,0.000,0,27.6,0,120.0,0,0.000
34.3,843.4,156.6,3,-70.00,live,5.000,720p,1,20,0.000,0,27.1,0,120.0,0,0.000
34.8,860.1,139.9,3,-70.00,live,5.000,720p,1,20,10.000,0,26.6,0,120.0,0,0.000
35.3,876.7,123.3,3,-69.00,live,5.000,720p,1,20,100.000,0,26.1,0,120.0,0,0.000
35.8,893.4,106.6,3,-67.00,live,5.000,720p,1,20,47.368,0,25.6,0,120.0,0,0.000
36.3,910.1,89.9,3,-66.00,live,5.000,360p,0,21,0.000,0,29.1,0,120.0,0,0.000
36.8,926.7,73.3,3,-64.00,live,8.000,360p,0,21,0.000,0,28.6,0,120.0,0,0.000
37.3,943.4,56.6,3,-62.00,live,8.000,720p,1,22,0.000,0,29.5,0,120.0,0,0.000
37.8,960.1,39.9,3,-59.00,live,10.000,720p,1,22,10.000,0,29.0,0,120.0,0,0.000
38.3,976.8,23.2,3,-55.00,live,10.000,720p,1,22,0.000,0,28.5,0,120.0,0,0.000
38.8,993.4,6.6,3,-44.00,live,10.000,720p,1,22,0.000,0,28.0,0,120.0,0,0.000
39.3,1010.1,10.1,3,-48.00,live,10.000,720p,1,22,0.000,0,27.5,0,120.0,0,0.000
39.8,1026.8,26.8,3,-56.00,live,10.000,720p,1,22,0.000,0,27.0,0,120.0,0,0.000
40.3,1043.4,43.4,3,-60.00,live,10.000,720p,1,22,0.000,0,26.5,0,120.0,0,0.000
40.8,1060.1,60.1,3,-63.00,live,8.000,1080p,2,23,0.000,0,29.5,0,120.0,0,0.000
41.3,1076.8,76.8,3,-65.00,live,8.000,1080p,2,23,0.000,0,29.0,0,120.0,0,0.000
41.8,1093.5,93.5,3,-66.00,live,8.000,1080p,2,23,0.000,0,28.5,0,120.0,0,0.000
42.3,1110.1,110.1,3,-68.00,live,8.000,1080p,2,23,0.000,0,28.0,0,120.0,0,0.000
42.8,1126.8,126.8,3,-69.00,live,5.000,1080p,2,23,0.000,0,27.5,0,120.0,0,0.000
43.3,1143.5,143.5,3,-70.00,live,5.000,1080p,2,23,0.000,0,27.0,0,120.0,0,0.000
43.8,1160.1,160.1,3,-71.00,live,5.000,1080p,2,23,0.000,0,26.5,0,120.0,0,0.000
44.3,1176.8,176.8,3,-71.00,live,5.000,1080p,2,23,0.000,0,26.0,0,120.0,0,0.000
44.8,1193.5,193.5,3,-72.00,live,5.000,1080p,2,24,0.000,0,29.5,0,120.0,0,0.000
45.3,1210.2,210.2,3,-73.00,live,5.000,1080p,2,24,0.000,0,29.0,0,120.0,0,0.000
