arch,sit,speed,round,avg_bitrate_kbps,avg_throughput_kbps,startup_delay_s,total_stall_events,total_stall_duration_s,rebuffering_ratio,quality_switches,rssi_mean_dbm,rssi_min_dbm,rssi_max_dbm,n_handovers,handover_ms_mean,handover_ms_max
dash,1,20,1,5131.6,7054.2,0.083,0,0.0,0.0,7,-66.87,-78,-46,4,1.0947,1.543
dash,1,20,10,5131.6,7057.9,0.086,0,0.0,0.0,7,-66.94,-78,-46,4,0.9562,1.428
dash,1,20,2,5131.6,7058.6,0.081,0,0.0,0.0,7,-66.91,-78,-46,4,0.9955,1.849
dash,1,20,3,5131.6,7059.6,0.086,0,0.0,0.0,7,-66.88,-78,-46,4,1.1945,1.844
dash,1,20,4,5131.6,7058.4,0.085,0,0.0,0.0,7,-66.94,-78,-46,4,1.2468,1.554
dash,1,20,5,5131.6,7057.5,0.084,0,0.0,0.0,7,-66.92,-78,-46,4,1.066,1.474
dash,1,20,6,5131.6,7058.2,0.085,0,0.0,0.0,7,-66.86,-78,-46,4,1.0673,1.575
dash,1,20,7,5131.6,7059.5,0.083,0,0.0,0.0,7,-66.9,-78,-46,4,1.27,1.785
dash,1,20,8,5131.6,7044.1,0.085,0,0.0,0.0,7,-66.9,-78,-46,4,1.0573,1.745
dash,1,20,9,5131.6,7053.9,0.086,0,0.0,0.0,7,-66.94,-78,-46,4,1.0085,1.276
dash,1,25,1,5004.5,7201.4,0.085,0,0.0,0.0,7,-66.94,-78,-46,3,0.7163,1.025
dash,1,25,10,5004.5,7205.3,0.084,0,0.0,0.0,7,-66.94,-78,-46,3,0.561,0.787
dash,1,25,2,5004.5,7207.0,0.084,0,0.0,0.0,7,-66.94,-78,-46,3,0.671,0.797
dash,1,25,3,5004.5,7198.1,0.085,0,0.0,0.0,7,-66.96,-78,-46,4,0.8815,1.212
dash,1,25,4,5004.5,7203.6,0.086,0,0.0,0.0,7,-66.96,-78,-46,4,1.0925,1.583
