seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.084,1,295.0,4.0,77930,0.0802,7778.3,4.0,0,0.0,steady
2,0.284,1,295.0,4.0,190947,0.2001,7635.9,7.8,0,0.0,steady
3,3.408,5,5818.1,4.0,2986462,3.124,7647.9,8.68,0,0.0,switch
4,6.766,5,5818.1,4.0,3208756,3.3573,7646.1,9.32,0,0.0,steady
5,9.98,5,5818.1,4.0,3073850,3.2136,7652.1,10.1,0,0.0,steady
6,12.074,5,5818.1,4.0,2001339,2.0934,7648.2,12.01,0,0.0,steady
7,14.711,5,5818.1,4.0,2522294,2.6367,7652.9,13.37,0,0.0,steady
8,17.54,5,5818.1,4.0,2704846,2.8289,7649.2,14.54,0,0.0,steady
9,22.603,5,5818.1,4.0,3235440,5.0624,5112.9,13.48,0,0.0,steady
10,24.397,4,2924.4,4.0,1713066,1.7938,7639.8,15.69,0,0.0,switch
11,26.779,5,5818.1,4.0,2275093,2.3811,7643.7,17.3,0,0.0,switch
12,29.507,5,5818.1,4.0,2605054,2.7271,7641.9,18.58,0,0.0,steady
13,32.646,5,5818.1,4.0,2999223,3.1391,7643.5,19.44,0,0.0,steady
14,36.02,5,5818.1,4.0,3222204,3.3724,7643.8,20.06,0,0.0,steady
15,39.787,5,5818.1,4.0,3571798,3.7668,7585.9,20.3,0,0.0,steady
16,41.621,5,5818.1,4.0,1735349,1.8342,7569.0,22.46,0,0.0,steady
17,59.654,5,5818.1,4.0,3176389,18.0324,1409.2,8.43,0,0.0,steady
18,60.135,2,685.0,4.0,456690,0.4812,7592.3,11.95,0,0.0,switch
19,62.966,5,5818.1,4.0,2702943,2.8308,7638.7,13.12,0,0.0,switch
20,66.165,5,5818.1,4.0,3054691,3.1984,7640.6,13.92,0,0.0,steady
21,69.741,5,5818.1,4.0,3415444,3.5761,7640.5,14.34,0,0.0,steady
22,72.61,5,5818.1,4.0,2740303,2.8693,7640.5,15.47,0,0.0,steady
23,74.154,5,5818.1,4.0,1473621,1.5438,7636.2,17.93,0,0.0,steady
24,77.446,5,5818.1,4.0,3098959,3.292,7531.0,18.64,0,0.0,steady
25,81.08,5,5818.1,4.0,1868801,3.6338,4114.3,19.0,0,0.0,steady
26,82.459,4,2924.4,4.0,1313599,1.3781,7625.6,21.62,0,0.0,switch
27,85.7,5,5818.1,4.0,3095584,3.241,7641.2,22.38,0,0.0,switch
28,89.535,5,5818.1,4.0,3663678,3.8351,7642.4,22.55,0,0.0,steady
29,92.858,5,5818.1,4.0,3173531,3.3233,7639.5,23.23,0,0.0,steady
30,96.18,5,5818.1,4.0,3172071,3.3217,7639.7,23.9,0,0.0,steady
31,99.85,5,5818.1,4.0,3505634,3.6695,7642.7,24.23,0,0.0,steady
32,118.261,5,5818.1,4.0,3329855,18.1106,1470.9,9.82,0,0.0,steady
