seg_index,timestamp,representation,bitrate_kbps,seg_dur_s,seg_bytes,download_time_s,throughput_kbps,buffer_s,stall_events,stall_duration_s,action
1,0.131,1,295.0,4.0,77930,0.1266,4923.2,4.0,0,0.0,steady
2,0.451,1,295.0,4.0,190947,0.3203,4769.1,7.68,0,0.0,steady
3,2.863,4,2924.4,4.0,1440488,2.4114,4779.0,9.27,0,0.0,switch
4,5.475,4,2924.4,4.0,1560430,2.6122,4778.9,10.66,0,0.0,steady
5,8.215,4,2924.4,4.0,1637070,2.7398,4780.2,11.92,0,0.0,steady
6,9.91,4,2924.4,4.0,1013753,1.6944,4786.4,14.22,0,0.0,steady
7,12.02,4,2924.4,4.0,1260231,2.1103,4777.6,16.11,0,0.0,steady
8,14.514,4,2924.4,4.0,1489755,2.4935,4779.6,17.62,0,0.0,steady
9,19.719,4,2924.4,4.0,1655570,5.2047,2544.7,16.41,0,0.0,steady
10,21.171,3,1465.2,4.0,867957,1.4523,4781.2,18.96,0,0.0,switch
11,22.896,4,2924.4,4.0,1030878,1.7247,4781.6,21.23,0,0.0,switch
12,25.058,4,2924.4,4.0,1291502,2.1615,4780.0,23.07,0,0.0,steady
13,27.63,4,2924.4,4.0,1537016,2.5721,4780.6,24.5,0,0.0,steady
14,30.849,4,2924.4,4.0,1623114,2.717,4779.1,25.28,0,0.0,steady
15,54.051,4,2924.4,4.0,1928282,3.2312,4774.2,6.08,0,0.0,steady
16,55.263,4,2924.4,4.0,723959,1.2125,4776.8,8.87,0,0.0,steady
17,57.64,4,2924.4,4.0,1419382,2.3764,4778.2,10.49,0,0.0,steady
18,60.857,4,2924.4,4.0,1920802,3.216,4778.1,11.27,0,0.0,steady
19,63.148,4,2924.4,4.0,1367677,2.291,4775.7,12.98,0,0.0,steady
20,67.612,4,2924.4,4.0,1610274,4.4641,2885.7,12.52,0,0.0,steady
21,69.718,3,1465.2,4.0,857478,2.1055,3258.1,14.41,0,0.0,switch
22,71.968,4,2924.4,4.0,1343919,2.2506,4777.2,16.16,0,0.0,switch
23,73.22,4,2924.4,4.0,746363,1.2514,4771.3,18.91,0,0.0,steady
24,75.908,4,2924.4,4.0,1604801,2.688,4776.2,20.22,0,0.0,steady
25,77.38,4,2924.4,4.0,878550,1.4721,4774.6,22.75,0,0.0,steady
26,79.58,4,2924.4,4.0,1313599,2.2,4776.8,24.55,0,0.0,steady
27,82.897,4,2924.4,4.0,1620229,2.7147,4774.6,25.23,0,0.0,steady
